Date,Alaves,Albacete,Almeria,Ath Bilbao,Ath Madrid,Barcelona,Betis,Cadiz,Celta,Compostela,Cordoba,Eibar,Elche,Espanol,Extremadura,Getafe,Gimnastic,Girona,Granada,Hercules,Huesca,La Coruna,Las Palmas,Leganes,Lerida,Levante,Logrones,Malaga,Mallorca,Merida,Murcia,Numancia,Osasuna,Oviedo,Real Madrid,Recreativo,Salamanca,Santander,Sevilla,Sociedad,Sp Gijon,Tenerife,Valencia,Valladolid,Vallecano,Villareal,Villarreal,Xerez,Zaragoza
1993-10-01,0.0,5.0,0.0,10.0,8.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,7.0,6.0,7.0,7.0,6.0,10.0,4.0,6.0,0.0,0.0,0.0,2.0
1993-11-01,0.0,9.0,0.0,16.0,13.0,17.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,14.0,0.0,0.0,14.0,18.0,17.0,14.0,14.0,20.0,8.0,10.0,0.0,0.0,0.0,6.0
1993-12-01,0.0,14.0,0.0,24.0,17.0,26.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,23.0,0.0,0.0,21.0,22.0,19.0,23.0,20.0,24.0,10.0,14.0,0.0,0.0,0.0,15.0
1994-01-01,0.0,23.0,0.0,30.0,21.0,33.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,11.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,27.0,0.0,0.0,21.0,23.0,25.0,29.0,20.0,24.0,13.0,20.0,0.0,0.0,0.0,22.0
1994-02-01,0.0,28.0,0.0,34.0,26.0,40.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,15.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,17.0,29.0,35.0,0.0,0.0,30.0,29.0,30.0,38.0,28.0,27.0,19.0,25.0,0.0,0.0,0.0,31.0
1994-03-01,0.0,35.0,0.0,40.0,29.0,49.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,22.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,22.0,33.0,48.0,0.0,0.0,36.0,39.0,37.0,40.0,38.0,35.0,22.0,29.0,0.0,0.0,0.0,41.0
1994-04-01,0.0,42.0,0.0,47.0,33.0,59.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,28.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,23.0,37.0,57.0,0.0,0.0,40.0,45.0,41.0,43.0,44.0,41.0,28.0,36.0,0.0,0.0,0.0,51.0
1994-05-01,0.0,44.0,0.0,54.0,39.0,72.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,33.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,30.0,47.0,61.0,0.0,0.0,49.0,53.0,45.0,50.0,48.0,49.0,34.0,38.0,0.0,0.0,0.0,56.0
1994-06-01,0.0,45.0,0.0,59.0,48.0,81.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,34.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,34.0,49.0,64.0,0.0,0.0,53.0,57.0,48.0,50.0,51.0,54.0,38.0,40.0,0.0,0.0,0.0,65.0
1994-10-01,0.0,48.0,0.0,63.0,51.0,88.0,7.0,0.0,50.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,34.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,34.0,53.0,74.0,0.0,0.0,54.0,64.0,51.0,54.0,56.0,63.0,42.0,40.0,0.0,0.0,0.0,72.0
1994-11-01,0.0,54.0,0.0,76.0,55.0,98.0,15.0,0.0,54.0,12.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,34.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,34.0,59.0,81.0,0.0,0.0,58.0,69.0,57.0,63.0,64.0,69.0,47.0,40.0,0.0,0.0,0.0,85.0
1994-12-01,0.0,55.0,0.0,82.0,59.0,104.0,20.0,0.0,61.0,16.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,34.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,34.0,63.0,90.0,0.0,0.0,65.0,75.0,58.0,65.0,64.0,71.0,47.0,40.0,0.0,0.0,0.0,89.0
1995-01-01,0.0,59.0,0.0,85.0,65.0,109.0,22.0,0.0,65.0,19.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,34.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,34.0,67.0,97.0,0.0,0.0,68.0,81.0,65.0,66.0,70.0,73.0,51.0,40.0,0.0,0.0,0.0,98.0
1995-02-01,0.0,64.0,0.0,88.0,67.0,116.0,30.0,0.0,66.0,24.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,34.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,34.0,72.0,105.0,0.0,0.0,72.0,86.0,71.0,69.0,78.0,78.0,57.0,40.0,0.0,0.0,0.0,101.0
1995-03-01,0.0,70.0,0.0,92.0,72.0,125.0,35.0,0.0,71.0,26.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,34.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,34.0,80.0,113.0,0.0,0.0,79.0,90.0,76.0,73.0,84.0,86.0,61.0,40.0,0.0,0.0,0.0,105.0
1995-04-01,0.0,74.0,0.0,95.0,81.0,129.0,42.0,0.0,72.0,29.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,34.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,34.0,87.0,119.0,0.0,0.0,85.0,97.0,79.0,77.0,88.0,90.0,61.0,40.0,0.0,0.0,0.0,109.0
1995-05-01,0.0,76.0,0.0,105.0,85.0,134.0,49.0,0.0,80.0,37.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,34.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,34.0,91.0,132.0,0.0,0.0,89.0,107.0,84.0,83.0,94.0,97.0,65.0,40.0,0.0,0.0,0.0,118.0
1995-06-01,0.0,83.0,0.0,111.0,92.0,139.0,54.0,0.0,87.0,39.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,34.0,98.0,136.0,0.0,0.0,93.0,112.0,94.0,86.0,98.0,101.0,68.0,40.0,0.0,0.0,0.0,125.0
1995-07-01,0.0,89.0,0.0,117.0,96.0,145.0,61.0,0.0,91.0,45.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,34.0,101.0,142.0,0.0,0.0,102.0,116.0,98.0,86.0,99.0,105.0,71.0,40.0,0.0,0.0,0.0,126.0
1995-10-01,0.0,95.0,0.0,127.0,108.0,156.0,69.0,0.0,95.0,55.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,2.0,0.0,0.0,34.0,108.0,147.0,0.0,1.0,103.0,120.0,101.0,92.0,104.0,112.0,73.0,40.0,0.0,0.0,0.0,130.0
1995-11-01,0.0,100.0,0.0,130.0,122.0,168.0,77.0,0.0,100.0,64.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,11.0,0.0,0.0,34.0,110.0,157.0,0.0,9.0,111.0,123.0,111.0,102.0,112.0,122.0,80.0,47.0,0.0,0.0,0.0,140.0
1995-12-01,0.0,101.0,0.0,136.0,129.0,176.0,83.0,0.0,105.0,69.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,14.0,0.0,0.0,34.0,117.0,164.0,0.0,16.0,118.0,133.0,113.0,106.0,116.0,129.0,82.0,51.0,0.0,0.0,0.0,141.0
1996-01-01,0.0,108.0,0.0,140.0,138.0,180.0,91.0,0.0,112.0,78.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,17.0,0.0,0.0,34.0,121.0,170.0,0.0,18.0,122.0,138.0,117.0,106.0,125.0,135.0,84.0,55.0,0.0,0.0,0.0,149.0
1996-02-01,0.0,112.0,0.0,146.0,151.0,191.0,99.0,0.0,122.0,88.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,23.0,0.0,0.0,34.0,127.0,181.0,0.0,22.0,125.0,139.0,131.0,114.0,137.0,150.0,88.0,64.0,0.0,0.0,0.0,152.0
1996-03-01,0.0,119.0,0.0,150.0,160.0,201.0,105.0,0.0,124.0,98.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,27.0,0.0,0.0,34.0,130.0,186.0,0.0,24.0,133.0,146.0,139.0,114.0,141.0,157.0,94.0,68.0,0.0,0.0,0.0,159.0
1996-04-01,0.0,122.0,0.0,153.0,168.0,212.0,118.0,0.0,133.0,99.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,30.0,0.0,0.0,34.0,141.0,196.0,0.0,27.0,143.0,152.0,148.0,123.0,154.0,169.0,106.0,77.0,0.0,0.0,0.0,165.0
1996-05-01,0.0,129.0,0.0,160.0,173.0,219.0,120.0,0.0,138.0,102.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,39.0,0.0,0.0,34.0,145.0,200.0,0.0,27.0,148.0,159.0,154.0,129.0,161.0,178.0,109.0,78.0,0.0,0.0,0.0,168.0
1996-06-01,0.0,131.0,0.0,165.0,183.0,225.0,123.0,0.0,143.0,104.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,42.0,0.0,0.0,34.0,149.0,212.0,0.0,33.0,149.0,164.0,161.0,132.0,171.0,188.0,118.0,84.0,0.0,0.0,0.0,174.0
1996-09-01,0.0,131.0,0.0,165.0,183.0,225.0,123.0,0.0,143.0,104.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,34.0,0.0,57.0,0.0,0.0,42.0,0.0,0.0,34.0,149.0,213.0,0.0,33.0,149.0,164.0,161.0,132.0,171.0,188.0,118.0,84.0,0.0,0.0,0.0,174.0
1996-10-01,0.0,131.0,0.0,172.0,192.0,238.0,133.0,0.0,147.0,110.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,221.0,0.0,0.0,34.0,0.0,64.0,0.0,0.0,42.0,0.0,0.0,34.0,158.0,223.0,0.0,33.0,156.0,167.0,169.0,139.0,180.0,195.0,125.0,90.0,0.0,0.0,0.0,179.0
1996-11-01,0.0,131.0,0.0,180.0,197.0,251.0,141.0,0.0,156.0,113.0,0.0,0.0,0.0,145.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,232.0,0.0,0.0,34.0,0.0,67.0,0.0,0.0,42.0,0.0,0.0,34.0,161.0,234.0,0.0,33.0,165.0,172.0,175.0,144.0,185.0,204.0,135.0,98.0,0.0,0.0,0.0,182.0
1996-12-01,0.0,131.0,0.0,189.0,210.0,256.0,149.0,0.0,163.0,117.0,0.0,0.0,0.0,147.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,240.0,0.0,0.0,34.0,0.0,69.0,0.0,0.0,42.0,0.0,0.0,34.0,165.0,247.0,0.0,33.0,171.0,178.0,182.0,148.0,190.0,208.0,141.0,104.0,0.0,0.0,0.0,185.0
1997-01-01,0.0,131.0,0.0,192.0,212.0,262.0,158.0,0.0,166.0,120.0,0.0,0.0,0.0,150.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,247.0,0.0,0.0,34.0,0.0,72.0,0.0,0.0,42.0,0.0,0.0,34.0,168.0,251.0,0.0,33.0,174.0,178.0,189.0,149.0,196.0,211.0,144.0,107.0,0.0,0.0,0.0,188.0
1997-02-01,0.0,131.0,0.0,197.0,218.0,271.0,162.0,0.0,167.0,127.0,0.0,0.0,0.0,154.0,15.0,0.0,0.0,0.0,0.0,18.0,0.0,249.0,0.0,0.0,34.0,0.0,78.0,0.0,0.0,42.0,0.0,0.0,34.0,175.0,261.0,0.0,33.0,179.0,182.0,198.0,154.0,200.0,216.0,148.0,107.0,0.0,0.0,0.0,189.0
1997-03-01,0.0,131.0,0.0,205.0,229.0,278.0,170.0,0.0,176.0,132.0,0.0,0.0,0.0,157.0,23.0,0.0,0.0,0.0,0.0,19.0,0.0,257.0,0.0,0.0,34.0,0.0,82.0,0.0,0.0,42.0,0.0,0.0,34.0,178.0,271.0,0.0,33.0,187.0,185.0,205.0,161.0,207.0,224.0,158.0,111.0,0.0,0.0,0.0,199.0
1997-04-01,0.0,131.0,0.0,212.0,238.0,288.0,186.0,0.0,179.0,140.0,0.0,0.0,0.0,162.0,32.0,0.0,0.0,0.0,0.0,25.0,0.0,270.0,0.0,0.0,34.0,0.0,85.0,0.0,0.0,42.0,0.0,0.0,34.0,184.0,284.0,0.0,33.0,190.0,189.0,208.0,167.0,215.0,231.0,163.0,117.0,0.0,0.0,0.0,207.0
1997-05-01,0.0,131.0,0.0,216.0,242.0,297.0,194.0,0.0,185.0,145.0,0.0,0.0,0.0,170.0,40.0,0.0,0.0,0.0,0.0,32.0,0.0,279.0,0.0,0.0,34.0,0.0,85.0,0.0,0.0,42.0,0.0,0.0,34.0,187.0,292.0,0.0,33.0,195.0,194.0,211.0,168.0,218.0,235.0,172.0,123.0,0.0,0.0,0.0,214.0
1997-06-01,0.0,131.0,0.0,223.0,251.0,309.0,197.0,0.0,189.0,153.0,0.0,0.0,0.0,176.0,41.0,0.0,0.0,0.0,0.0,35.0,0.0,284.0,0.0,0.0,34.0,0.0,89.0,0.0,0.0,42.0,0.0,0.0,34.0,193.0,298.0,0.0,33.0,197.0,201.0,215.0,178.0,223.0,241.0,176.0,129.0,0.0,0.0,0.0,223.0
1997-07-01,0.0,131.0,0.0,229.0,254.0,315.0,200.0,0.0,192.0,157.0,0.0,0.0,0.0,182.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,287.0,0.0,0.0,34.0,0.0,90.0,0.0,0.0,42.0,0.0,0.0,34.0,197.0,304.0,0.0,33.0,199.0,207.0,224.0,182.0,227.0,244.0,182.0,129.0,0.0,0.0,0.0,224.0
1997-09-01,0.0,131.0,0.0,229.0,255.0,318.0,200.0,0.0,195.0,160.0,0.0,0.0,0.0,185.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,288.0,0.0,0.0,34.0,0.0,90.0,0.0,3.0,42.0,0.0,0.0,34.0,200.0,305.0,0.0,33.0,202.0,207.0,224.0,182.0,228.0,244.0,182.0,129.0,0.0,0.0,0.0,224.0
1997-10-01,0.0,131.0,0.0,234.0,259.0,327.0,205.0,0.0,200.0,162.0,0.0,0.0,0.0,188.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,292.0,0.0,0.0,34.0,0.0,90.0,0.0,10.0,44.0,0.0,0.0,34.0,203.0,314.0,0.0,37.0,205.0,207.0,230.0,182.0,234.0,244.0,182.0,129.0,0.0,0.0,0.0,229.0
1997-11-01,0.0,131.0,0.0,240.0,268.0,337.0,212.0,0.0,207.0,164.0,0.0,0.0,0.0,198.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,295.0,0.0,0.0,34.0,0.0,90.0,0.0,15.0,47.0,0.0,0.0,34.0,207.0,322.0,0.0,37.0,209.0,207.0,240.0,183.0,238.0,249.0,186.0,129.0,0.0,0.0,0.0,234.0
1997-12-01,0.0,131.0,0.0,248.0,280.0,343.0,220.0,0.0,216.0,171.0,0.0,0.0,0.0,207.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,301.0,0.0,0.0,34.0,0.0,90.0,0.0,21.0,58.0,0.0,0.0,34.0,219.0,335.0,0.0,43.0,215.0,207.0,250.0,184.0,240.0,255.0,195.0,129.0,0.0,0.0,0.0,244.0
1998-01-01,0.0,131.0,0.0,260.0,284.0,355.0,226.0,0.0,223.0,173.0,0.0,0.0,0.0,211.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,303.0,0.0,0.0,34.0,0.0,90.0,0.0,27.0,59.0,0.0,0.0,34.0,220.0,343.0,0.0,50.0,222.0,207.0,256.0,185.0,242.0,265.0,202.0,129.0,0.0,0.0,0.0,248.0
1998-02-01,0.0,131.0,0.0,268.0,291.0,356.0,234.0,0.0,226.0,180.0,0.0,0.0,0.0,215.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,313.0,0.0,0.0,34.0,0.0,90.0,0.0,35.0,66.0,0.0,0.0,34.0,226.0,347.0,0.0,57.0,226.0,207.0,263.0,185.0,251.0,272.0,205.0,129.0,0.0,0.0,0.0,253.0
1998-03-01,0.0,131.0,0.0,269.0,299.0,364.0,243.0,0.0,233.0,184.0,0.0,0.0,0.0,221.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,320.0,0.0,0.0,34.0,0.0,90.0,0.0,42.0,70.0,0.0,0.0,34.0,230.0,354.0,0.0,60.0,229.0,207.0,268.0,188.0,255.0,281.0,214.0,129.0,0.0,0.0,0.0,259.0
1998-04-01,0.0,131.0,0.0,279.0,301.0,376.0,250.0,0.0,243.0,191.0,0.0,0.0,0.0,225.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,326.0,0.0,0.0,34.0,0.0,90.0,0.0,49.0,78.0,0.0,0.0,34.0,234.0,359.0,0.0,67.0,231.0,207.0,275.0,191.0,260.0,289.0,222.0,129.0,0.0,0.0,0.0,264.0
1998-05-01,0.0,131.0,0.0,287.0,308.0,389.0,256.0,0.0,248.0,194.0,0.0,0.0,0.0,230.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,333.0,0.0,0.0,34.0,0.0,90.0,0.0,56.0,79.0,0.0,0.0,34.0,234.0,364.0,0.0,74.0,240.0,207.0,280.0,194.0,265.0,295.0,229.0,129.0,0.0,0.0,0.0,268.0
1998-06-01,0.0,131.0,0.0,294.0,314.0,389.0,259.0,0.0,252.0,201.0,0.0,0.0,0.0,235.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,336.0,0.0,0.0,34.0,0.0,90.0,0.0,60.0,81.0,0.0,0.0,34.0,237.0,367.0,0.0,78.0,244.0,207.0,287.0,195.0,272.0,299.0,232.0,129.0,0.0,0.0,0.0,272.0
1998-09-01,1.0,131.0,0.0,294.0,314.0,390.0,260.0,0.0,253.0,201.0,0.0,0.0,0.0,238.0,45.0,0.0,0.0,0.0,0.0,41.0,0.0,337.0,0.0,0.0,34.0,0.0,90.0,0.0,61.0,81.0,0.0,0.0,34.0,238.0,370.0,0.0,79.0,245.0,207.0,288.0,195.0,272.0,302.0,233.0,129.0,0.0,0.0,0.0,275.0
1998-10-01,7.0,131.0,0.0,300.0,321.0,395.0,261.0,0.0,256.0,201.0,0.0,0.0,0.0,239.0,46.0,0.0,0.0,0.0,0.0,41.0,0.0,343.0,0.0,0.0,34.0,0.0,90.0,0.0,68.0,81.0,0.0,0.0,34.0,242.0,377.0,0.0,82.0,248.0,207.0,289.0,195.0,276.0,305.0,237.0,129.0,4.0,0.0,0.0,281.0
1998-11-01,7.0,131.0,0.0,304.0,327.0,405.0,267.0,0.0,266.0,201.0,0.0,0.0,0.0,241.0,49.0,0.0,0.0,0.0,0.0,41.0,0.0,347.0,0.0,0.0,34.0,0.0,90.0,0.0,75.0,81.0,0.0,0.0,34.0,246.0,384.0,0.0,89.0,256.0,207.0,296.0,195.0,278.0,311.0,240.0,129.0,7.0,0.0,0.0,284.0
1998-12-01,12.0,131.0,0.0,310.0,334.0,408.0,276.0,0.0,273.0,201.0,0.0,0.0,0.0,248.0,55.0,0.0,0.0,0.0,0.0,41.0,0.0,356.0,0.0,0.0,34.0,0.0,90.0,0.0,82.0,81.0,0.0,0.0,34.0,252.0,385.0,0.0,92.0,260.0,207.0,303.0,195.0,282.0,318.0,247.0,129.0,13.0,0.0,0.0,291.0
